lat_index,lon_index,latitude,longitude,missing_count,valid_count,missing_fraction,longest_consecutive_missing,number_of_missing_runs,first_missing_date,last_missing_date
53,195,18.25,93.75,356,1063,0.25088090204369273,356,1,2023-11-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
42,208,15.5,97.0,356,1063,0.25088090204369273,336,3,2022-09-24T00:00:00.000000000,2024-11-19T00:00:00.000000000
50,194,17.5,93.5,352,1067,0.24806201550387597,352,1,2023-12-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
51,194,17.75,93.5,352,1067,0.24806201550387597,352,1,2023-12-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
52,194,18.0,93.5,352,1067,0.24806201550387597,352,1,2023-12-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
53,193,18.25,93.25,352,1067,0.24806201550387597,352,1,2023-12-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
53,194,18.25,93.5,352,1067,0.24806201550387597,352,1,2023-12-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
54,192,18.5,93.0,352,1067,0.24806201550387597,352,1,2023-12-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
54,193,18.5,93.25,352,1067,0.24806201550387597,352,1,2023-12-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
55,192,18.75,93.0,352,1067,0.24806201550387597,352,1,2023-12-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
56,192,19.0,93.0,352,1067,0.24806201550387597,352,1,2023-12-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
57,192,19.25,93.0,352,1067,0.24806201550387597,352,1,2023-12-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
47,195,16.75,93.75,352,1067,0.24806201550387597,196,2,2023-11-26T00:00:00.000000000,2024-11-19T00:00:00.000000000
48,195,17.0,93.75,352,1067,0.24806201550387597,196,2,2023-11-26T00:00:00.000000000,2024-11-19T00:00:00.000000000
51,193,17.75,93.25,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
52,193,18.0,93.25,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
55,191,18.75,92.75,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
56,190,19.0,92.5,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
56,191,19.0,92.75,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
57,190,19.25,92.5,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
57,191,19.25,92.75,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
58,190,19.5,92.5,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
58,191,19.5,92.75,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
59,189,19.75,92.25,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
59,190,19.75,92.5,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
60,189,20.0,92.25,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
60,190,20.0,92.5,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
61,189,20.25,92.25,348,1071,0.2452431289640592,348,1,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
57,189,19.25,92.25,344,1075,0.24242424242424243,344,1,2023-12-12T00:00:00.000000000,2024-11-19T00:00:00.000000000
58,188,19.5,92.0,344,1075,0.24242424242424243,344,1,2023-12-12T00:00:00.000000000,2024-11-19T00:00:00.000000000
58,189,19.5,92.25,344,1075,0.24242424242424243,344,1,2023-12-12T00:00:00.000000000,2024-11-19T00:00:00.000000000
59,188,19.75,92.0,344,1075,0.24242424242424243,344,1,2023-12-12T00:00:00.000000000,2024-11-19T00:00:00.000000000
60,188,20.0,92.0,344,1075,0.24242424242424243,344,1,2023-12-12T00:00:00.000000000,2024-11-19T00:00:00.000000000
61,188,20.25,92.0,344,1075,0.24242424242424243,344,1,2023-12-12T00:00:00.000000000,2024-11-19T00:00:00.000000000
62,188,20.5,92.0,344,1075,0.24242424242424243,344,1,2023-12-12T00:00:00.000000000,2024-11-19T00:00:00.000000000
64,184,21.0,91.0,344,1075,0.24242424242424243,228,4,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
55,189,18.75,92.25,340,1079,0.23960535588442566,340,1,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
55,190,18.75,92.5,340,1079,0.23960535588442566,340,1,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
56,188,19.0,92.0,340,1079,0.23960535588442566,340,1,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
56,189,19.0,92.25,340,1079,0.23960535588442566,340,1,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
57,188,19.25,92.0,340,1079,0.23960535588442566,340,1,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
63,187,20.75,91.75,340,1079,0.23960535588442566,340,1,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
52,192,18.0,93.0,340,1079,0.23960535588442566,220,2,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
53,191,18.25,92.75,340,1079,0.23960535588442566,220,2,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
53,192,18.25,93.0,340,1079,0.23960535588442566,220,2,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
54,191,18.5,92.75,340,1079,0.23960535588442566,220,2,2023-12-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
38,210,14.5,97.5,336,1083,0.23678646934460887,336,1,2023-12-20T00:00:00.000000000,2024-11-19T00:00:00.000000000
61,187,20.25,91.75,336,1083,0.23678646934460887,180,2,2023-12-12T00:00:00.000000000,2024-11-19T00:00:00.000000000
62,187,20.5,91.75,336,1083,0.23678646934460887,180,2,2023-12-12T00:00:00.000000000,2024-11-19T00:00:00.000000000
27,211,11.75,97.75,336,1083,0.23678646934460887,128,6,2022-07-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
28,211,12.0,97.75,336,1083,0.23678646934460887,128,6,2022-07-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
54,190,18.5,92.5,332,1087,0.2339675828047921,220,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
55,188,18.75,92.0,332,1087,0.2339675828047921,204,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
62,185,20.5,91.25,332,1087,0.2339675828047921,180,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
62,186,20.5,91.5,332,1087,0.2339675828047921,180,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
63,185,20.75,91.25,332,1087,0.2339675828047921,180,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
63,186,20.75,91.5,332,1087,0.2339675828047921,180,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
46,194,16.5,93.5,332,1087,0.2339675828047921,176,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
47,194,16.75,93.5,332,1087,0.2339675828047921,176,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
48,194,17.0,93.5,332,1087,0.2339675828047921,176,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
49,193,17.25,93.25,332,1087,0.2339675828047921,176,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
49,194,17.25,93.5,332,1087,0.2339675828047921,176,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
50,193,17.5,93.25,332,1087,0.2339675828047921,176,2,2023-12-16T00:00:00.000000000,2024-11-19T00:00:00.000000000
